match_id,Gameweek,Date,Time,Result,Day,HomeGoals,AwayGoals,Status,Season
2015000,1,10/20/2015,5:00 PM,2:00,Tue,2,0,HomeWin,2015-2016
2015001,1,10/20/2015,7:45 PM,2:02,Tue,2,2,Tie,2015-2016
2015002,1,10/21/2015,2:45 PM,1:00,Wed,1,0,HomeWin,2015-2016
2015003,1,10/21/2015,5:00 PM,2:00,Wed,2,0,HomeWin,2015-2016
2015004,1,10/21/2015,7:45 PM,2:00,Wed,2,0,HomeWin,2015-2016
2015005,1,10/22/2015,2:45 PM,0:01,Thu,0,1,AwayWin,2015-2016
2015006,1,10/22/2015,5:00 PM,1:01,Thu,1,1,Tie,2015-2016
2015007,1,10/22/2015,,1:03,Thu,1,3,AwayWin,2015-2016
2015008,1,10/22/2015,7:45 PM,0:01,Thu,0,1,AwayWin,2015-2016
2015009,2,10/24/2015,2:45 PM,0:01,Sat,0,1,AwayWin,2015-2016
2015010,2,10/24/2015,5:00 PM,0:01,Sat,0,1,AwayWin,2015-2016
2015011,2,10/24/2015,7:45 PM,0:00,Sat,0,0,Tie,2015-2016
2015012,2,10/25/2015,1:45 PM,0:03,Sun,0,3,AwayWin,2015-2016
2015013,2,10/25/2015,4:00 PM,0:00,Sun,0,0,Tie,2015-2016
2015014,2,10/25/2015,,1:01,Sun,1,1,Tie,2015-2016
2015015,2,10/25/2015,6:45 PM,2:00,Sun,2,0,HomeWin,2015-2016
2015016,2,10/26/2015,4:00 PM,0:00,Mon,0,0,Tie,2015-2016
2015017,2,10/26/2015,6:45 PM,3:03,Mon,3,3,Tie,2015-2016
2015018,3,10/31/2015,1:45 PM,0:02,Sat,0,2,AwayWin,2015-2016
2015019,3,10/31/2015,,2:01,Sat,2,1,HomeWin,2015-2016
2015020,3,10/31/2015,4:00 PM,2:00,Sat,2,0,HomeWin,2015-2016
2015021,3,10/31/2015,,1:01,Sat,1,1,Tie,2015-2016
2015022,3,10/31/2015,6:45 PM,2:01,Sat,2,1,HomeWin,2015-2016
2015023,3,11/1/2015,1:45 PM,1:01,Sun,1,1,Tie,2015-2016
2015024,3,11/1/2015,,1:01,Sun,1,1,Tie,2015-2016
2015025,3,11/1/2015,4:00 PM,0:01,Sun,0,1,AwayWin,2015-2016
2015026,3,11/1/2015,6:45 PM,0:01,Sun,0,1,AwayWin,2015-2016
2015027,4,11/4/2015,5:00 PM,1:02,Wed,1,2,AwayWin,2015-2016
2015028,4,11/5/2015,4:00 PM,1:01,Thu,1,1,Tie,2015-2016
2015029,4,11/5/2015,6:45 PM,0:01,Thu,0,1,AwayWin,2015-2016
2015030,4,11/7/2015,1:45 PM,2:00,Sat,2,0,HomeWin,2015-2016
2015031,4,11/7/2015,,1:00,Sat,1,0,HomeWin,2015-2016
2015032,4,11/7/2015,4:00 PM,0:04,Sat,0,4,AwayWin,2015-2016
2015033,4,11/7/2015,6:45 PM,3:00,Sat,3,0,HomeWin,2015-2016
2015034,4,11/8/2015,4:00 PM,0:00,Sun,0,0,Tie,2015-2016
2015035,4,11/8/2015,6:45 PM,2:01,Sun,2,1,HomeWin,2015-2016
2015036,5,11/12/2015,1:45 PM,1:01,Thu,1,1,Tie,2015-2016
2015037,5,11/12/2015,4:00 PM,0:05,Thu,0,5,AwayWin,2015-2016
2015038,5,11/12/2015,6:30 PM,2:01,Thu,2,1,HomeWin,2015-2016
2015039,5,11/15/2015,1:45 PM,1:01,Sun,1,1,Tie,2015-2016
2015040,5,11/15/2015,4:00 PM,0:01,Sun,0,1,AwayWin,2015-2016
2015041,5,11/15/2015,6:30 PM,3:02,Sun,3,2,HomeWin,2015-2016
2015042,5,11/19/2015,5:00 PM,0:02,Thu,0,2,AwayWin,2015-2016
2015043,5,1/5/2016,5:00 PM,2:00,Tue,2,0,HomeWin,2015-2016
2015044,5,2/3/2016,7:00 PM,0:02,Wed,0,2,AwayWin,2015-2016
2015045,6,11/26/2015,1:45 PM,0:00,Thu,0,0,Tie,2015-2016
2015046,6,11/26/2015,4:00 PM,0:01,Thu,0,1,AwayWin,2015-2016
2015047,6,11/26/2015,6:30 PM,0:00,Thu,0,0,Tie,2015-2016
2015048,6,11/28/2015,1:45 PM,2:03,Sat,2,3,AwayWin,2015-2016
2015049,6,11/28/2015,4:00 PM,1:01,Sat,1,1,Tie,2015-2016
2015050,6,11/28/2015,6:30 PM,0:00,Sat,0,0,Tie,2015-2016
2015051,6,1/7/2016,5:00 PM,7:03,Thu,7,3,HomeWin,2015-2016
2015052,6,2/3/2016,4:00 PM,1:00,Wed,1,0,HomeWin,2015-2016
2015053,6,2/21/2016,6:45 PM,2:03,Sun,2,3,AwayWin,2015-2016
2015054,7,12/6/2015,1:30 PM,1:01,Sun,1,1,Tie,2015-2016
2015055,7,12/6/2015,4:00 PM,0:02,Sun,0,2,AwayWin,2015-2016
2015056,7,12/7/2015,1:30 PM,2:01,Mon,2,1,HomeWin,2015-2016
2015057,7,12/7/2015,6:30 PM,3:02,Mon,3,2,HomeWin,2015-2016
2015058,7,12/10/2015,4:00 PM,2:02,Thu,2,2,Tie,2015-2016
2015059,7,2/2/2016,4:00 PM,0:00,Tue,0,0,Tie,2015-2016
2015060,7,2/21/2016,4:00 PM,1:02,Sun,1,2,AwayWin,2015-2016
2015061,7,2/22/2016,7:00 PM,2:01,Mon,2,1,HomeWin,2015-2016
2015062,7,2/23/2016,5:00 PM,2:02,Tue,2,2,Tie,2015-2016
2015063,8,12/14/2015,1:30 PM,1:04,Mon,1,4,AwayWin,2015-2016
2015064,8,12/14/2015,4:00 PM,1:00,Mon,1,0,HomeWin,2015-2016
2015065,8,12/14/2015,6:45 PM,0:00,Mon,0,0,Tie,2015-2016
2015066,8,12/15/2015,1:00 PM,2:01,Tue,2,1,HomeWin,2015-2016
2015067,8,12/15/2015,4:00 PM,3:01,Tue,3,1,HomeWin,2015-2016
2015068,8,12/15/2015,6:45 PM,1:00,Tue,1,0,HomeWin,2015-2016
2015069,8,12/17/2015,2:00 PM,0:02,Thu,0,2,AwayWin,2015-2016
2015070,8,12/17/2015,4:00 PM,0:02,Thu,0,2,AwayWin,2015-2016
2015071,8,12/17/2015,8:15 PM,0:03,Thu,0,3,AwayWin,2015-2016
2015072,9,12/19/2015,4:00 PM,0:00,Sat,0,0,Tie,2015-2016
2015073,9,12/19/2015,6:45 PM,3:01,Sat,3,1,HomeWin,2015-2016
2015074,9,12/20/2015,1:30 PM,0:01,Sun,0,1,AwayWin,2015-2016
2015075,9,12/20/2015,,0:01,Sun,0,1,AwayWin,2015-2016
2015076,9,12/20/2015,4:00 PM,1:00,Sun,1,0,HomeWin,2015-2016
2015077,9,12/20/2015,6:45 PM,3:02,Sun,3,2,HomeWin,2015-2016
2015078,9,12/21/2015,1:00 PM,3:02,Mon,3,2,HomeWin,2015-2016
2015079,9,12/21/2015,4:00 PM,2:00,Mon,2,0,HomeWin,2015-2016
2015080,9,12/22/2015,5:00 PM,3:00,Tue,3,0,HomeWin,2015-2016
2015081,10,12/23/2015,1:30 PM,1:04,Wed,1,4,AwayWin,2015-2016
2015082,10,12/23/2015,4:00 PM,0:02,Wed,0,2,AwayWin,2015-2016
2015083,10,12/23/2015,6:45 PM,5:00,Wed,5,0,HomeWin,2015-2016
2015084,10,12/25/2015,1:30 PM,0:00,Fri,0,0,Tie,2015-2016
2015085,10,12/25/2015,4:00 PM,0:00,Fri,0,0,Tie,2015-2016
2015086,10,12/25/2015,6:45 PM,4:04,Fri,4,4,Tie,2015-2016
2015087,10,12/26/2015,1:30 PM,0:00,Sat,0,0,Tie,2015-2016
2015088,10,12/26/2015,4:00 PM,0:01,Sat,0,1,AwayWin,2015-2016
2015089,10,12/26/2015,6:45 PM,0:00,Sat,0,0,Tie,2015-2016
2015090,11,12/28/2015,1:30 PM,1:01,Mon,1,1,Tie,2015-2016
2015091,11,12/28/2015,4:30 PM,1:01,Mon,1,1,Tie,2015-2016
2015092,11,12/29/2015,5:00 PM,3:01,Tue,3,1,HomeWin,2015-2016
2015093,11,12/30/2015,1:30 PM,1:01,Wed,1,1,Tie,2015-2016
2015094,11,12/30/2015,,1:01,Wed,1,1,Tie,2015-2016
2015095,11,12/30/2015,4:00 PM,1:01,Wed,1,1,Tie,2015-2016
2015096,11,12/30/2015,,3:02,Wed,3,2,HomeWin,2015-2016
2015097,11,12/30/2015,,0:00,Wed,0,0,Tie,2015-2016
2015098,11,12/30/2015,6:45 PM,1:02,Wed,1,2,AwayWin,2015-2016
2015099,12,1/2/2016,4:00 PM,1:01,Sat,1,1,Tie,2015-2016
2015100,12,1/2/2016,6:45 PM,2:02,Sat,2,2,Tie,2015-2016
2015101,12,1/3/2016,1:30 PM,2:02,Sun,2,2,Tie,2015-2016
2015102,12,1/3/2016,,2:01,Sun,2,1,HomeWin,2015-2016
2015103,12,1/3/2016,4:00 PM,2:02,Sun,2,2,Tie,2015-2016
2015104,12,1/3/2016,6:45 PM,0:01,Sun,0,1,AwayWin,2015-2016
2015105,12,1/4/2016,1:30 PM,1:00,Mon,1,0,HomeWin,2015-2016
2015106,12,1/4/2016,4:00 PM,0:00,Mon,0,0,Tie,2015-2016
2015107,12,1/4/2016,6:45 PM,1:01,Mon,1,1,Tie,2015-2016
2015108,13,1/9/2016,1:30 PM,2:00,Sat,2,0,HomeWin,2015-2016
2015109,13,1/9/2016,,1:00,Sat,1,0,HomeWin,2015-2016
2015110,13,1/9/2016,4:00 PM,1:01,Sat,1,1,Tie,2015-2016
2015111,13,1/9/2016,6:45 PM,0:01,Sat,0,1,AwayWin,2015-2016
2015112,13,1/10/2016,3:30 PM,1:00,Sun,1,0,HomeWin,2015-2016
2015113,13,1/10/2016,6:00 PM,3:01,Sun,3,1,HomeWin,2015-2016
2015114,13,1/11/2016,1:30 PM,1:01,Mon,1,1,Tie,2015-2016
2015115,13,1/11/2016,4:00 PM,1:01,Mon,1,1,Tie,2015-2016
2015116,13,1/11/2016,6:45 PM,1:03,Mon,1,3,AwayWin,2015-2016
2015117,14,1/13/2016,1:30 PM,0:01,Wed,0,1,AwayWin,2015-2016
2015118,14,1/13/2016,4:00 PM,0:02,Wed,0,2,AwayWin,2015-2016
2015119,14,1/13/2016,6:45 PM,1:03,Wed,1,3,AwayWin,2015-2016
2015120,14,1/14/2016,4:00 PM,2:02,Thu,2,2,Tie,2015-2016
2015121,14,1/14/2016,6:45 PM,1:01,Thu,1,1,Tie,2015-2016
2015122,14,1/15/2016,2:00 PM,2:00,Fri,2,0,HomeWin,2015-2016
2015123,14,1/15/2016,4:00 PM,1:01,Fri,1,1,Tie,2015-2016
2015124,14,1/15/2016,6:45 PM,0:00,Fri,0,0,Tie,2015-2016
2015125,14,1/16/2016,5:00 PM,1:00,Sat,1,0,HomeWin,2015-2016
2015126,15,1/18/2016,1:30 PM,0:01,Mon,0,1,AwayWin,2015-2016
2015127,15,1/18/2016,5:00 PM,3:00,Mon,3,0,HomeWin,2015-2016
2015128,15,1/19/2016,1:30 PM,1:00,Tue,1,0,HomeWin,2015-2016
2015129,15,1/19/2016,4:00 PM,2:00,Tue,2,0,HomeWin,2015-2016
2015130,15,1/19/2016,6:45 PM,3:00,Tue,3,0,HomeWin,2015-2016
2015131,15,1/20/2016,1:00 PM,2:01,Wed,2,1,HomeWin,2015-2016
2015132,15,1/20/2016,,1:04,Wed,1,4,AwayWin,2015-2016
2015133,15,1/20/2016,4:00 PM,1:00,Wed,1,0,HomeWin,2015-2016
2015134,15,1/20/2016,6:45 PM,0:01,Wed,0,1,AwayWin,2015-2016
2015135,16,1/22/2016,2:00 PM,0:00,Fri,0,0,Tie,2015-2016
2015136,16,1/23/2016,2:00 PM,0:01,Sat,0,1,AwayWin,2015-2016
2015137,16,1/24/2016,1:30 PM,0:00,Sun,0,0,Tie,2015-2016
