match_id,Referee,Stadium,Home team,Away team
2019000,Mohamed Youssef,Gehaz El Reyada Stadium,Talaea El Gaish,El Mokawloon
2019001,Ibrahim Nour Eldin,Khaled Bichara Stadium,El Gouna,Ismaily
2019002,Mohamed Maarouf,30 June Stadium,Pyramids FC,Enppi SC
2019003,Said Hamza,Aswan Stadium,Aswan SC,El Makasa
2019004,Mahmoud Bassiouni,Petrosport Stadium,Wadi Degla,Tanta SC
2019005,Ahmed Hamdi,El Salam Stadium,Entag El Harby,FC Masr
2019006,Tarek Magdi,Borg El Arab Stadium,El Masry,Harras Hodoud
2019007,Ahmed El Ghandour,Borg El Arab Stadium,Smouha,Ahly SC
2019008,Amin Omar,Petrosport Stadium,Zamalek,Ittihad Alex
2019009,Mohamed Abou-Khater,El Max,Harras Hodoud,Wadi Degla
2019010,Mahmoud El Banna,Petrosport Stadium,Enppi SC,Talaea El Gaish
2019011,Walid Abdelrazak,Cairo Military Academy Stadium,FC Masr,Aswan SC
2019012,Ahmed El Adawi,Arab Contractors Stadium,El Mokawloon,Smouha
2019013,Mahmoud Ashour,Borg El Arab Stadium,Ittihad Alex,El Gouna
2019014,Gehad Grisha,Borg El Arab Stadium,Ismaily,El Masry
2019015,Mohamed El Sabahi,El Ahly Stadium,Ahly SC,Entag El Harby
2019016,Tarek Samy,Tanta Stadium,Tanta SC,Pyramids FC
2019017,Mohamed Adel,El Salam Stadium,El Makasa,Zamalek
2019018,Mohamed Youssef,Alexandria Stadium,Smouha,Enppi SC
2019019,Mohamed El Hanafy,Aswan Stadium,Aswan SC,Ahly SC
2019020,Mahmoud Nagy,Petrosport Stadium,Wadi Degla,Ismaily
2019021,Nader Kamar,El Salam Stadium,Entag El Harby,El Mokawloon
2019022,Ibrahim Nour Eldin,Egyptian Army Stadium,El Masry,Ittihad Alex
2019023,Mohamed Hassan,Khaled Bichara Stadium,El Gouna,El Makasa
2019024,Amin Omar,Gehaz El Reyada Stadium,Talaea El Gaish,Pyramids FC
2019025,Mohamed Salama,El Max,Harras Hodoud,Tanta SC
2019026,Tarek Magdi,El Salam Stadium,Zamalek,FC Masr
2019027,Abdelaziz El Sayed,Cairo Military Academy Stadium,FC Masr,El Gouna
2019028,Mahmoud Bassiouni,Petrosport Stadium,Enppi SC,Entag El Harby
2019029,Mohamed Maarouf,Gehaz El Reyada Stadium,El Makasa,El Masry
2019030,Mohamed El Sabahi,30 June Stadium,Pyramids FC,Smouha
2019031,Ahmed El Adawi,Alexandria Stadium,Ittihad Alex,Wadi Degla
2019032,Ahmed El Ghandour,Ismailia Stadium,Ismaily,Harras Hodoud
2019033,Ahmed El Ghandour,Tanta Stadium,Tanta SC,Talaea El Gaish
2019034,Hesham El Fallal,Arab Contractors Stadium,El Mokawloon,Aswan SC
2019035,Gediminas Mazeika,Cairo International Stadium,Ahly SC,Zamalek
2019036,Mahmoud El Banna,El Salam Stadium,Zamalek,El Mokawloon
2019037,Mahmoud Ashour,El Salam Stadium,Entag El Harby,Pyramids FC
2019038,Mohamed Hassan,Egyptian Army Stadium,El Masry,FC Masr
2019039,Mohamed Abou-Khater,Aswan Stadium,Aswan SC,Enppi SC
2019040,Mohamed El Hanafy,Petrosport Stadium,Wadi Degla,El Makasa
2019041,Said Hamza,Khaled Bichara Stadium,El Gouna,Ahly SC
2019042,Walid Abdelrazak,Alexandria Stadium,Smouha,Talaea El Gaish
2019043,Ahmed Hamdi,Ismailia Stadium,Ismaily,Tanta SC
2019044,Mohamed Adel,El Max,Harras Hodoud,Ittihad Alex
2019045,Mohamed El Sabahi,El Salam Stadium,Enppi SC,Zamalek
2019046,Ahmed Gamal,Cairo Military Academy Stadium,FC Masr,Wadi Degla
2019047,Gehad Grisha,El Salam Stadium,El Makasa,Harras Hodoud
2019048,Amin Omar,Tanta Stadium,Tanta SC,Smouha
2019049,Ibrahim Mahgoub,30 June Stadium,Pyramids FC,Aswan SC
2019050,Ibrahim Nour Eldin,Gehaz El Reyada Stadium,Talaea El Gaish,Entag El Harby
2019051,Wael Farhan,Arab Contractors Stadium,El Mokawloon,El Gouna
2019052,Mohamed El Hanafy,Borg El Arab Stadium,Ittihad Alex,Ismaily
2019053,Mohamed El Hanafy,El Max,Ahly SC,El Masry
2019054,Mohamed Salama,Khaled Bichara Stadium,El Gouna,Enppi SC
2019055,Mohamed Adel,El Salam Stadium,Entag El Harby,Smouha
2019056,,El Max,Harras Hodoud,FC Masr
2019057,Tarek Magdi,Ismailia Stadium,Ismaily,El Makasa
2019058,Said Hamza,El Salam Stadium,Wadi Degla,Ahly SC
2019059,Abdelaziz El Sayed,Alexandria Stadium,Ittihad Alex,Tanta SC
2019060,Mahmoud Bassiouni,Egyptian Army Stadium,El Masry,El Mokawloon
2019061,Mahmoud Ashour,Petrosport Stadium,Zamalek,Pyramids FC
2019062,Ibrahim Nour Eldin,Aswan Stadium,Aswan SC,Talaea El Gaish
2019063,Sobhy El Amrawy,Cairo International Stadium,FC Masr,Ismaily
2019064,Mahmoud Desouki,Alexandria Stadium,Smouha,Aswan SC
2019065,Ibrahim Nour Eldin,Cairo International Stadium,Ahly SC,Harras Hodoud
2019066,Mohamed Maarouf,Tanta Stadium,Tanta SC,Entag El Harby
2019067,Ahmed Gamal,Arab Contractors Stadium,El Mokawloon,Wadi Degla
2019068,Ahmed El Ghandour,Arab Contractors Stadium,El Makasa,Ittihad Alex
2019069,Gehad Grisha,Egyptian Army Stadium,Talaea El Gaish,Zamalek
2019070,Mahmoud Nagy,30 June Stadium,Pyramids FC,El Gouna
2019071,Tarek Samy,Suez Stadium,Enppi SC,El Masry
2019072,Mahmoud El Banna,El Max,Ismaily,Ahly SC
2019073,Sabry Ibrahim,Aswan Stadium,Aswan SC,Entag El Harby
2019074,Abdelaziz El Sayed,El Max,Harras Hodoud,El Mokawloon
2019075,Nader Kamar,Alexandria Stadium,Ittihad Alex,FC Masr
2019076,Ahmed El Adawi,El Salam Stadium,El Makasa,Tanta SC
2019077,Mohamed El Hanafy,Cairo International Stadium,Zamalek,Smouha
2019078,Mohamed Abou-Khater,Khaled Bichara Stadium,El Gouna,Talaea El Gaish
2019079,Ahmed Hamdi,Petrosport Stadium,Wadi Degla,Enppi SC
2019080,Mohamed Adel,Suez Stadium,El Masry,Pyramids FC
2019081,Ahmed Gamal,Arab Contractors Stadium,El Mokawloon,Ismaily
2019082,Tarek Magdi,Cairo International Stadium,Ahly SC,Ittihad Alex
2019083,Mahmoud El Banna,Tanta Stadium,Tanta SC,Aswan SC
2019084,Mohamed Youssef,Cairo International Stadium,FC Masr,El Makasa
2019085,Ahmed El Ghandour,El Salam Stadium,Entag El Harby,Zamalek
2019086,Mohamed Abbas Kabil,Petrosport Stadium,Enppi SC,Harras Hodoud
2019087,Mahmoud Ashour,Egyptian Army Stadium,Talaea El Gaish,El Masry
2019088,Hesham El Fallal,Alexandria Stadium,Smouha,El Gouna
2019089,Mohamed Salama,30 June Stadium,Pyramids FC,Wadi Degla
2019090,Wael Farhan,Cairo Military Academy Stadium,FC Masr,Tanta SC
2019091,Sobhy El Amrawy,Khaled Bichara Stadium,El Gouna,Entag El Harby
2019092,Mohamed Maarouf,Alexandria Stadium,Ittihad Alex,El Mokawloon
