match_id,Gameweek,Date,Time,Result,Day,HomeGoals,AwayGoals,Status,Season
2022000,1,10/18/2022,3:00 PM,0:01,Tue,0,1,AwayWin,2022-2023
2022001,1,10/18/2022,5:00 PM,1:01,Tue,1,1,Tie,2022-2023
2022002,1,10/18/2022,7:00 PM,0:03,Tue,0,3,AwayWin,2022-2023
2022003,1,10/19/2022,5:00 PM,1:01,Wed,1,1,Tie,2022-2023
2022004,1,10/19/2022,,0:01,Wed,0,1,AwayWin,2022-2023
2022005,1,10/19/2022,7:00 PM,2:00,Wed,2,0,HomeWin,2022-2023
2022006,1,10/20/2022,3:00 PM,1:01,Thu,1,1,Tie,2022-2023
2022007,1,10/20/2022,5:00 PM,0:02,Thu,0,2,AwayWin,2022-2023
2022008,1,10/20/2022,7:00 PM,0:00,Thu,0,0,Tie,2022-2023
2022009,2,10/23/2022,4:00 PM,0:00,Sun,0,0,Tie,2022-2023
2022010,2,10/23/2022,6:00 PM,0:02,Sun,0,2,AwayWin,2022-2023
2022011,2,10/23/2022,8:00 PM,1:00,Sun,1,0,HomeWin,2022-2023
2022012,2,10/24/2022,4:00 PM,2:01,Mon,2,1,HomeWin,2022-2023
2022013,2,10/24/2022,6:00 PM,2:00,Mon,2,0,HomeWin,2022-2023
2022014,2,10/24/2022,8:00 PM,0:00,Mon,0,0,Tie,2022-2023
2022015,2,10/25/2022,6:00 PM,1:01,Tue,1,1,Tie,2022-2023
2022016,2,10/25/2022,7:00 PM,2:01,Tue,2,1,HomeWin,2022-2023
2022017,2,10/26/2022,5:00 PM,1:00,Wed,1,0,HomeWin,2022-2023
2022018,3,10/29/2022,3:00 PM,0:01,Sat,0,1,AwayWin,2022-2023
2022019,3,10/29/2022,5:00 PM,2:00,Sat,2,0,HomeWin,2022-2023
2022020,3,10/31/2022,4:00 PM,3:01,Mon,3,1,HomeWin,2022-2023
2022021,3,10/31/2022,6:00 PM,0:00,Mon,0,0,Tie,2022-2023
2022022,3,11/1/2022,4:00 PM,0:00,Tue,0,0,Tie,2022-2023
2022023,3,11/1/2022,6:00 PM,3:01,Tue,3,1,HomeWin,2022-2023
2022024,3,11/2/2022,4:00 PM,1:04,Wed,1,4,AwayWin,2022-2023
2022025,3,12/11/2022,6:00 PM,1:00,Sun,1,0,HomeWin,2022-2023
2022026,3,12/12/2022,4:00 PM,0:00,Mon,0,0,Tie,2022-2023
2022027,4,11/2/2022,6:00 PM,1:01,Wed,1,1,Tie,2022-2023
2022028,4,11/23/2022,4:00 PM,1:01,Wed,1,1,Tie,2022-2023
2022029,4,11/23/2022,,2:01,Wed,2,1,HomeWin,2022-2023
2022030,4,11/23/2022,,2:00,Wed,2,0,HomeWin,2022-2023
2022031,4,12/11/2022,1:45 PM,2:01,Sun,2,1,HomeWin,2022-2023
2022032,4,12/11/2022,4:00 PM,3:01,Sun,3,1,HomeWin,2022-2023
2022033,4,12/11/2022,,0:00,Sun,0,0,Tie,2022-2023
2022034,4,12/12/2022,1:45 PM,2:01,Mon,2,1,HomeWin,2022-2023
2022035,4,12/12/2022,6:00 PM,3:00,Mon,3,0,HomeWin,2022-2023
2022036,5,11/30/2022,1:45 PM,0:01,Wed,0,1,AwayWin,2022-2023
2022037,5,11/30/2022,,2:03,Wed,2,3,AwayWin,2022-2023
2022038,5,11/30/2022,6:00 PM,0:02,Wed,0,2,AwayWin,2022-2023
2022039,5,12/1/2022,1:45 PM,1:00,Thu,1,0,HomeWin,2022-2023
2022040,5,12/1/2022,,0:01,Thu,0,1,AwayWin,2022-2023
2022041,5,12/1/2022,6:00 PM,2:02,Thu,2,2,Tie,2022-2023
2022042,5,12/2/2022,1:45 PM,0:01,Fri,0,1,AwayWin,2022-2023
2022043,5,12/2/2022,,2:01,Fri,2,1,HomeWin,2022-2023
2022044,5,12/2/2022,6:00 PM,2:01,Fri,2,1,HomeWin,2022-2023
2022045,6,12/6/2022,1:45 PM,0:00,Tue,0,0,Tie,2022-2023
2022046,6,12/7/2022,1:45 PM,2:00,Wed,2,0,HomeWin,2022-2023
2022047,6,12/7/2022,,1:01,Wed,1,1,Tie,2022-2023
2022048,6,12/7/2022,4:00 PM,0:02,Wed,0,2,AwayWin,2022-2023
2022049,6,12/7/2022,6:00 PM,0:04,Wed,0,4,AwayWin,2022-2023
2022050,6,12/8/2022,1:45 PM,0:00,Thu,0,0,Tie,2022-2023
2022051,6,12/8/2022,,1:02,Thu,1,2,AwayWin,2022-2023
2022052,6,12/8/2022,4:00 PM,1:00,Thu,1,0,HomeWin,2022-2023
2022053,6,12/8/2022,6:00 PM,1:01,Thu,1,1,Tie,2022-2023
2022054,7,12/14/2022,1:45 PM,3:02,Wed,3,2,HomeWin,2022-2023
2022055,7,12/15/2022,1:45 PM,2:03,Thu,2,3,AwayWin,2022-2023
2022056,7,12/15/2022,4:00 PM,0:00,Thu,0,0,Tie,2022-2023
2022057,7,12/15/2022,,1:00,Thu,1,0,HomeWin,2022-2023
2022058,7,12/15/2022,6:00 PM,3:02,Thu,3,2,HomeWin,2022-2023
